"id" "irow" "adjpvalue" "model" "nbpar" "b" "c" "d" "e" "f" "SDres" "typology" "trend" "y0" "yrange" "maxychange" "xextrem" "yextrem" "BMD.zSD" "BMR.zSD" "BMD.xfold" "BMR.xfold" "BMD.zSD.lower" "BMD.zSD.upper" "BMD.xfold.lower" "BMD.xfold.upper" "nboot.successful"
"NAP_2" 2 6.2325794810303e-05 "exponential" 3 0.459812417573764 NA 5.94189580084464 -1.64795840805783 NA 0.126045681453496 "E.dec.convex" "dec" 5.94189580084464 0.455667172495687 0.455667172495687 NA NA 0.527966758488777 5.81585011939115 NA 5.34770622076018 0.20008805736098 1.10955862462485 Inf Inf 957
"NAP_23" 21 1.10695849262438e-05 "linear" 2 -0.0594661812112857 NA 5.38725229321538 NA NA 0.0792926585875533 "L.dec" "dec" 5.38725229321538 0.461457566199577 0.461457566199577 NA NA 1.33340761038317 5.30795963462783 NA 4.84852706389384 0.853371096966307 1.74601019557229 7.6109355852591 Inf 1000
"NAP_30" 28 1.02834300126544e-05 "linear" 2 -0.0450783224781624 NA 7.85910942846839 NA NA 0.0520324536793762 "L.dec" "dec" 7.85910942846839 0.34980778243054 0.34980778243054 NA NA 1.15426774597885 7.80707697478902 NA 7.07319848562155 0.751858818848597 1.4649977760904 Inf Inf 1000
"NAP_38" 34 0.00188504749710703 "exponential" 3 0.601067700939079 NA 6.85790947985737 -0.321316338514016 NA 0.233763917671625 "E.dec.convex" "dec" 6.85790947985737 0.601067700919561 0.601067700919561 NA NA 0.158254183992024 6.62414556218575 NA 6.17211853187164 0.0554377329973275 0.680442535069675 0.561154372192697 Inf 648
"NAP_42" 38 0.00416019288855188 "exponential" 3 0.672102267923928 NA 6.20928628939148 -0.323028078836283 NA 0.289684628100446 "E.dec.convex" "dec" 6.20928628939148 0.672102267899124 0.672102267899124 NA NA 0.182154630467996 5.91960166129103 0.831857378950109 5.58835766045233 0.0809526981591704 0.793603160399911 0.329293169268765 Inf 620
"NAP_52" 47 0.0392016921060137 "log-Gauss-probit" 5 0.450085898099066 7.2020025794552 7.28888325740516 1.3087220207942 -0.143678144403769 0.0708585710772889 "lGP.U" "U" 7.28888325740516 0.191278995697831 0.191278995697831 1.45882035859937 7.09760426170733 0.731530435810474 7.21802468632787 NA 8.01777158314568 0.424684083006586 1.05203631200253 Inf Inf 872
"NAP_54" 49 0.000376710335359844 "exponential" 3 0.452065404070337 NA 6.86852305790063 -0.625454884038757 NA 0.150311661760149 "E.dec.convex" "dec" 6.86852305790063 0.452063555131043 0.452063555131043 NA NA 0.252818625422745 6.71821139614048 NA 6.18167075211057 0.0757977481595544 0.700518167374069 Inf Inf 909
"NAP_56" 51 0.00148991900255788 "exponential" 3 0.43925082782303 NA 7.55848122096996 -0.264979827542116 NA 0.153538071357445 "E.dec.convex" "dec" 7.55848122096996 0.439250827822946 0.439250827822946 NA NA 0.113963492357451 7.40494314961252 NA 6.80263309887297 0.0369479865348358 0.42092170253714 Inf Inf 565
"NAP_58" 53 0.0283419846834676 "linear" 2 -0.0193812708014512 NA 6.46746570059294 NA NA 0.0576908513441259 "L.dec" "dec" 6.46746570059294 0.150398661419262 0.150398661419262 NA NA 2.97662892878036 6.40977484924881 NA 5.82071913053364 1.6743319785946 5.30372918089739 Inf Inf 1000
"NAP_73" 67 0.000376710335359844 "linear" 2 -0.0578784221211838 NA 5.73830179169828 NA NA 0.117268374741072 "L.dec" "dec" 5.73830179169828 0.449136555660386 0.449136555660386 NA NA 2.02611561344122 5.62103341695721 NA 5.16447161252845 1.25236328690257 2.85228700252158 7.56375893363554 Inf 1000
"NAP47_51" 46 0.000715824626578185 "linear" 2 -0.0560055900889182 NA 7.34357055991015 NA NA 0.124541830314095 "L.dec" "dec" 7.34357055991015 0.434603379090005 0.434603379090005 NA NA 2.22373927524672 7.21902872959605 NA 6.60921350391913 0.978509543482365 4.06869851504119 Inf Inf 1000
"NP_121" 197 0.00988946021651986 "linear" 2 0.0614947493771904 NA 5.3301711418185 NA NA 0.187060490323132 "L.inc" "inc" 5.3301711418185 0.477199255166997 0.477199255166997 NA NA 3.04189369365113 5.51723163214163 NA 5.86318825600035 1.32631865475953 6.05955531243293 5.92523483785811 Inf 1000
"NP_129" 204 0.00728621602733949 "exponential" 3 0.00778602864152461 NA 4.96847535033484 2.02438851988982 NA 0.143031830794887 "E.inc.convex" "inc" 4.96847535033484 0.352027961657066 0.352027961657066 NA NA 5.99976518367206 5.11150718112973 NA 5.46532288536832 2.76071128603756 7.19335900168116 7.67906625359405 Inf 718
"NP_140" 214 0.00855004362981037 "Gauss-probit" 4 0.695528052411071 4.83577443653298 4.83577443653298 1.40694629363291 0.245555578252318 0.106155647680324 "GP.bell" "bell" 4.86751418813896 0.245555578252318 0.213815826646341 1.40694629363291 5.0813300147853 0.659781948492632 4.97366983581928 NA 4.38076276932506 0.364423647367713 2.2863213027504 Inf Inf 975
"NP_147" 221 0.00106196678649226 "exponential" 3 -0.0319538830695575 NA 5.40232808755958 3.38956156324511 NA 0.0674438995154325 "E.dec.concave" "dec" 5.40232808755958 0.283393661322783 0.283393661322783 NA NA 3.84659681210523 5.33488418804415 NA 4.86209527880362 1.87728955672211 5.79287762289053 Inf Inf 938
"NP_33" 113 0.0559930808366839 "log-Gauss-probit" 4 0.615016999497035 4.91734478675804 4.91734478675804 3.22364371877218 0.45305731492498 0.219915691043184 "lGP.bell" "bell" 4.91734478675804 0.45305731492498 0.45305731492498 3.22364371877218 5.37040210168302 1.53890569508071 5.13726047780122 NA 4.42561030808223 0.636878701163459 2.64216276213374 1.60732079238128 Inf 962
"NP_35" 115 0.00323855858457021 "Gauss-probit" 4 1.50757877403547 5.97514307828871 5.97514307828871 0.58758510866447 -0.698090948474509 0.265357974671306 "GP.U" "U" 5.32811141122796 0.698082458737963 0.647023177324201 0.58758510866447 5.2770521298142 2.24426711133124 5.59346938589927 3.45612496103372 5.86092255235076 0.377734182406268 3.43290374734434 2.12091124300293 Inf 979
"NP_43" 123 0.0105589535360893 "exponential" 3 -0.396735952774912 NA 5.60784629303161 -1.22033593545446 NA 0.204173649629055 "E.inc.concave" "inc" 5.60784629303161 0.396049098973155 0.396049098973155 NA NA 0.882121294096824 5.81201994266067 NA 6.16863092233477 0.248875307671032 4.0820797713619 2.79173759433036 Inf 851
"NP_55" 135 1.1193801321302e-06 "Gauss-probit" 4 2.32527348928361 4.46988208303047 4.46988208303047 1.86785302963836 0.845024510741398 0.122569908070971 "GP.bell" "bell" 5.08188296184025 0.810938321101688 0.577914689170068 1.86785302963836 5.31490659377187 0.637085320007675 5.20445286991122 6.62958907732309 4.57369466565622 0.326865143299203 3.13328908702873 5.73891268683707 Inf 1000
"NP_56" 136 0.00528930996237801 "exponential" 3 -0.00436052753482812 NA 7.018763830173 1.95098459059981 NA 0.055872597242073 "E.dec.concave" "dec" 7.018763830173 0.228414379420706 0.228414379420706 NA NA 5.12256250427966 6.96289123293092 NA 6.3168874471557 2.43380228090444 6.32239288945022 Inf Inf 859
"NP_59" 139 0.0129343994615299 "exponential" 3 -0.366781534394291 NA 4.49169532767293 -1.70314971811891 NA 0.185178094694644 "E.inc.concave" "inc" 4.49169532767293 0.362929882004826 0.362929882004826 NA NA 1.19721374831433 4.67687342236758 NA 4.94086486044023 0.357992159371799 4.28829327386486 2.32048361548864 Inf 833
"NP_60" 140 0.00693955957553093 "exponential" 3 -0.51500054013493 NA 5.21570859449333 -1.56470178222653 NA 0.23592637493863 "E.inc.concave" "inc" 5.21570859449333 0.511386752395151 0.511386752395151 NA NA 0.95867772624753 5.45163496943196 NA 5.73727945394266 0.300864456230084 3.18332715785649 1.30741046725714 Inf 890
"NP_68" 147 0.000344966021341625 "Gauss-probit" 4 2.44495029697219 5.05557702597997 5.05557702597997 2.62696629147948 -0.620816375691515 0.124762918067887 "GP.U" "U" 4.70701416696305 0.552290942859701 0.280037426185101 2.62696629147948 4.43476065028845 0.826146183322628 4.58225124889517 NA 5.17771558365936 0.461244161822381 1.48736874171617 Inf Inf 940
"NP_69" 148 0.00115630202525284 "linear" 2 -0.0507632397390613 NA 5.51385507554484 NA NA 0.112247156235479 "L.dec" "dec" 5.51385507554484 0.393922740375116 0.393922740375116 NA NA 2.21118976669857 5.40160791930936 NA 4.96246956799036 1.03576992324089 3.61794094246196 Inf Inf 1000
"NP_74" 153 0.0702952674085996 "log-Gauss-probit" 5 0.271541038180036 4.84740268646721 4.68978705774388 1.09234958364571 -0.414627154084086 0.175731944759795 "lGP.U" "U" 4.68978705774388 0.498193793257493 0.340578164536181 1.0482801699292 4.3492088932077 0.78053091101275 4.51405511298408 NA 5.15876576351827 0.484067381077401 1.23702106015963 0.808097973619976 Inf 635
"NP_75_89" 167 0.000130971375630709 "linear" 2 0.117220220820092 NA 4.62978523695878 NA NA 0.263569546584659 "L.inc" "inc" 4.62978523695878 0.909628913563912 0.909628913563912 NA NA 2.24849897688883 4.89335478354344 3.94964725758751 5.09276376065466 1.33820635955238 3.31065057515457 2.86462485352692 5.93604392632974 1000
"NP_90" 168 0.0307257194870592 "exponential" 3 -0.268624151304793 NA 6.07052334477542 -1.11133985121348 NA 0.148116810901235 "E.inc.concave" "inc" 6.07052334477542 0.268374888957003 0.268374888957003 NA NA 0.890852834494431 6.21864015567666 NA 6.67757567925297 0.266444535490047 4.28711644283975 Inf Inf 820
"NP_92" 170 0.00227881002748104 "exponential" 3 -0.0045956886870473 NA 6.48915141513152 1.59214591094294 NA 0.170668847697485 "E.dec.concave" "dec" 6.48915141513152 0.596674124038822 0.596674124038822 NA NA 5.7972864200713 6.31848256743404 NA 5.84023627361837 3.09334792537334 6.61623000991043 7.32335336439129 Inf 722
"NP_94" 172 1.79875235825814e-05 "Gauss-probit" 4 3.01657566007015 4.86284158514009 4.86284158514009 1.38929116826855 0.736593714045654 0.148440689323466 "GP.bell" "bell" 5.52531618176057 0.657393913670121 0.58327479624495 1.38929116826855 5.59943529918574 3.94804176030532 5.37687549243711 7.27288996114553 4.97278456358451 0.630648082011493 4.79961490519402 5.94571061830506 Inf 953
